gender,age,allowance,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,cluster,description,label
0,1,0,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,Moderate,neutral about regularly puts money aside for the future. neutral about compares prices before making purchases for investment. neutral about considers stock prices before selling. neutral about understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals.  has investment accounts in money and capital markets.,2
0,0,0,3,1,3,3,3,3,5,5,5,3,3,2,3,3,1,3,4,3,2,2,3,1,1,1,2,3,3,1,2,5,Moderate,does not regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. does not saves money in order to invest.  invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,2
0,1,1,3,2,2,2,3,2,4,4,4,3,3,4,3,4,3,3,2,3,4,3,3,2,2,3,3,2,3,3,2,3,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment. neutral about considers stock prices before selling. neutral about understands fundamental analysis.  always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
1,1,0,3,1,3,1,4,2,4,4,4,5,5,5,5,5,4,2,4,3,2,4,3,2,2,1,1,2,2,2,2,5,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,1
0,0,2,3,2,2,1,3,2,4,5,5,3,3,3,3,3,4,2,3,3,3,5,3,2,1,1,2,3,2,3,3,4,Conservative, regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,1,0,3,2,3,2,3,3,3,5,5,3,3,3,2,3,1,2,3,3,1,2,3,3,1,1,1,3,2,2,2,3,Moderate,neutral about regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Moderate, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals.  has investment accounts in money and capital markets.,2
0,0,1,2,2,3,3,3,2,4,5,4,4,4,2,2,3,3,4,3,4,3,4,3,2,2,2,2,3,3,3,3,4,Moderate, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. strongly has investment accounts in money and capital markets.,2
1,1,1,3,3,3,2,3,3,5,2,2,1,1,1,1,1,1,3,4,2,3,2,2,3,2,2,3,1,3,3,2,1,Moderate,neutral about regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling. neutral about understands fundamental analysis. does not always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest.  invests to achieve certain goals. does not has investment accounts in money and capital markets.,2
0,1,2,3,5,5,5,3,4,3,1,1,2,1,1,1,1,3,5,3,3,3,5,4,3,5,5,5,5,5,5,5,1,Agressive,neutral about regularly puts money aside for the future. very strongly compares prices before making purchases for investment. very strongly considers stock prices before selling. very strongly understands fundamental analysis. very strongly always has money available in case of a failed investment. very strongly plans to manage expenses in order to invest. very strongly saves money in order to invest. very strongly invests to achieve certain goals. does not has investment accounts in money and capital markets.,0
0,0,2,3,2,2,2,4,1,3,4,5,3,4,5,4,5,2,3,4,3,3,2,3,3,1,1,2,1,2,3,3,4,Conservative,neutral about regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis. does not always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
1,1,0,3,2,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,2,3,3,3,3,2,4,Moderate,neutral about regularly puts money aside for the future. neutral about compares prices before making purchases for investment.  considers stock prices before selling. neutral about understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest.  invests to achieve certain goals. strongly has investment accounts in money and capital markets.,2
1,1,0,3,2,2,3,4,3,3,5,5,5,5,3,3,5,5,3,4,3,3,4,3,1,1,1,1,3,1,1,1,5,Conservative,does not regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. neutral about always has money available in case of a failed investment. does not plans to manage expenses in order to invest. does not saves money in order to invest. does not invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,1
1,1,1,2,4,4,3,2,4,4,2,3,4,4,4,2,2,1,2,3,2,1,2,2,2,1,1,3,4,3,3,2,3,Moderate, regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. neutral about understands fundamental analysis. strongly always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
1,0,0,3,4,3,4,3,4,2,2,1,2,2,2,2,2,3,3,3,3,3,2,4,4,5,4,4,4,4,4,4,3,Agressive,strongly regularly puts money aside for the future. very strongly compares prices before making purchases for investment. strongly considers stock prices before selling. strongly understands fundamental analysis. strongly always has money available in case of a failed investment. strongly plans to manage expenses in order to invest. strongly saves money in order to invest. strongly invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,0
1,0,1,3,1,2,2,3,2,5,5,5,5,5,5,4,4,5,1,3,3,1,5,4,1,1,1,2,2,2,3,3,5,Conservative,does not regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,1
1,0,0,2,1,2,2,2,1,5,5,5,3,3,3,5,5,3,2,2,2,3,4,2,1,1,1,1,1,1,1,1,3,Conservative,does not regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment. does not plans to manage expenses in order to invest. does not saves money in order to invest. does not invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
0,0,0,4,2,3,2,4,1,5,5,5,5,5,5,4,5,4,3,3,4,1,3,3,2,1,1,1,1,1,2,3,4,Conservative, regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment. does not plans to manage expenses in order to invest.  saves money in order to invest. neutral about invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
1,0,0,3,3,3,3,3,3,2,1,1,1,1,2,2,2,2,3,3,3,3,2,2,4,4,4,4,4,4,4,4,2,Agressive,strongly regularly puts money aside for the future. strongly compares prices before making purchases for investment. strongly considers stock prices before selling. strongly understands fundamental analysis. strongly always has money available in case of a failed investment. strongly plans to manage expenses in order to invest. strongly saves money in order to invest. strongly invests to achieve certain goals.  has investment accounts in money and capital markets.,0
1,0,1,4,2,2,2,1,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,1,0,3,3,2,3,3,3,4,4,4,3,4,3,3,4,4,3,3,3,3,4,3,2,2,2,2,2,2,3,2,3,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
1,0,1,3,3,4,3,4,2,2,3,2,3,3,3,2,3,3,4,3,4,2,3,3,4,2,2,3,3,2,3,2,4,Moderate,strongly regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling. neutral about understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest.  invests to achieve certain goals. strongly has investment accounts in money and capital markets.,2
0,0,0,3,2,2,3,3,3,4,5,5,5,4,4,4,4,4,2,3,3,3,4,3,2,2,2,2,2,2,2,2,3,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
1,1,0,3,4,3,4,3,3,3,2,2,2,2,1,3,3,3,3,2,3,4,3,3,2,5,4,4,3,3,3,3,3,Agressive, regularly puts money aside for the future. very strongly compares prices before making purchases for investment. strongly considers stock prices before selling. strongly understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,0
1,0,0,3,2,2,2,3,2,4,5,5,4,3,5,3,3,2,3,3,2,3,5,3,2,3,1,2,3,2,2,3,4,Conservative, regularly puts money aside for the future. neutral about compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest. neutral about invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,0,1,3,3,2,2,3,2,4,5,5,3,5,3,3,3,5,2,3,3,1,3,3,3,1,1,2,2,2,2,3,3,Conservative,neutral about regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest. neutral about invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
0,0,0,2,3,3,3,2,3,2,1,1,2,1,1,2,2,2,2,1,2,3,1,2,3,4,4,4,2,3,3,3,1,Agressive,neutral about regularly puts money aside for the future. strongly compares prices before making purchases for investment. strongly considers stock prices before selling. strongly understands fundamental analysis.  always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. does not has investment accounts in money and capital markets.,0
1,0,0,3,2,3,2,3,3,5,5,5,4,4,4,4,4,3,2,2,3,3,4,3,2,2,2,2,2,2,2,2,3,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
0,0,0,4,1,2,1,5,2,4,1,4,1,3,1,4,3,1,3,4,5,3,3,4,2,1,3,1,1,2,1,1,5,Moderate, regularly puts money aside for the future. does not compares prices before making purchases for investment. neutral about considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment.  plans to manage expenses in order to invest. does not saves money in order to invest. does not invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,2
0,0,1,3,2,3,2,3,2,5,4,5,3,4,4,4,4,4,4,3,3,3,3,3,2,1,2,1,2,1,2,2,3,Conservative, regularly puts money aside for the future. does not compares prices before making purchases for investment.  considers stock prices before selling. does not understands fundamental analysis.  always has money available in case of a failed investment. does not plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
1,1,0,4,2,4,3,4,4,4,3,5,5,4,5,3,5,3,2,3,3,3,4,3,3,1,1,1,2,3,3,3,4,Conservative,neutral about regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis.  always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,0,1,2,2,2,2,3,2,2,3,4,3,3,4,3,4,2,3,3,2,2,3,3,2,1,1,1,1,3,2,2,3,Moderate, regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
1,0,1,2,3,4,4,2,3,3,2,3,2,2,2,1,3,2,3,2,2,3,3,2,3,2,3,4,3,3,3,3,3,Moderate,neutral about regularly puts money aside for the future.  compares prices before making purchases for investment. neutral about considers stock prices before selling. strongly understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
0,0,0,3,3,3,3,3,2,5,5,5,5,5,2,5,5,5,3,4,3,3,3,3,2,1,1,1,2,1,1,2,4,Conservative, regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis.  always has money available in case of a failed investment. does not plans to manage expenses in order to invest. does not saves money in order to invest.  invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,0,1,4,3,3,3,4,3,4,5,5,5,5,5,3,4,5,2,3,4,3,3,3,3,1,2,3,3,3,3,3,4,Conservative,neutral about regularly puts money aside for the future. does not compares prices before making purchases for investment.  considers stock prices before selling. neutral about understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,0,2,3,2,2,3,4,2,5,4,5,5,5,5,4,5,2,4,3,4,3,2,2,2,1,2,2,2,2,1,2,2,Conservative, regularly puts money aside for the future. does not compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest. does not saves money in order to invest.  invests to achieve certain goals.  has investment accounts in money and capital markets.,1
0,0,0,3,1,3,1,3,1,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,1,1,1,1,1,1,1,3,3,Conservative,does not regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment. does not plans to manage expenses in order to invest. does not saves money in order to invest. neutral about invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
1,1,0,3,2,3,3,2,2,4,5,4,3,3,4,2,3,2,3,3,2,2,2,2,1,2,1,2,2,2,2,2,3,Moderate,does not regularly puts money aside for the future.  compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
1,0,0,3,2,2,2,2,3,4,3,4,4,4,4,3,4,2,2,3,3,2,3,3,2,2,2,2,2,2,2,2,4,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,0,2,4,3,3,3,2,2,4,4,5,5,5,5,5,4,3,4,4,4,3,3,4,2,2,2,2,2,3,3,4,4,Conservative, regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. strongly invests to achieve certain goals. strongly has investment accounts in money and capital markets.,1
0,1,0,2,3,1,3,2,4,2,1,1,1,2,2,1,1,2,1,1,1,2,1,3,4,5,5,5,3,4,5,5,2,Agressive,strongly regularly puts money aside for the future. very strongly compares prices before making purchases for investment. very strongly considers stock prices before selling. very strongly understands fundamental analysis. neutral about always has money available in case of a failed investment. strongly plans to manage expenses in order to invest. very strongly saves money in order to invest. very strongly invests to achieve certain goals.  has investment accounts in money and capital markets.,0
0,0,1,2,1,1,1,2,1,5,5,5,3,4,5,5,4,4,2,3,3,4,4,3,4,2,2,2,3,2,1,2,2,Conservative,strongly regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest. does not saves money in order to invest.  invests to achieve certain goals.  has investment accounts in money and capital markets.,1
1,0,0,3,3,3,2,2,2,4,4,4,3,4,3,3,3,3,2,3,3,2,3,3,1,2,2,2,2,2,2,3,3,Moderate,does not regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest. neutral about invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
1,0,0,3,3,2,2,3,2,3,2,4,4,4,4,3,3,2,2,3,4,1,1,3,5,2,3,2,3,3,3,3,3,Moderate,very strongly regularly puts money aside for the future.  compares prices before making purchases for investment. neutral about considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
0,0,1,5,2,4,4,3,3,2,3,3,2,2,3,2,2,2,2,2,3,3,4,3,3,2,2,2,2,2,2,2,4,Moderate,neutral about regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. strongly has investment accounts in money and capital markets.,2
0,0,0,1,1,3,2,2,1,5,4,5,5,5,4,4,5,4,3,3,2,2,3,1,2,3,3,2,1,2,3,1,3,Conservative, regularly puts money aside for the future. neutral about compares prices before making purchases for investment. neutral about considers stock prices before selling.  understands fundamental analysis. does not always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest. does not invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
1,1,2,3,1,2,2,4,2,5,5,5,5,5,5,5,5,5,1,2,4,1,5,5,1,1,1,1,1,2,1,1,5,Conservative,does not regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment.  plans to manage expenses in order to invest. does not saves money in order to invest. does not invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,1
0,0,1,3,4,3,4,3,3,4,4,4,5,5,4,1,3,3,2,4,3,4,3,2,3,2,2,3,4,2,2,2,3,Moderate,neutral about regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling. neutral about understands fundamental analysis. strongly always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
1,0,1,3,3,3,3,2,2,3,3,3,2,3,4,4,4,3,3,2,2,4,2,2,2,4,4,3,2,2,2,2,2,Moderate, regularly puts money aside for the future. strongly compares prices before making purchases for investment. strongly considers stock prices before selling. neutral about understands fundamental analysis.  always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals.  has investment accounts in money and capital markets.,2
0,0,0,2,1,2,3,3,2,3,3,3,4,3,3,2,3,2,1,2,2,2,3,2,2,1,1,1,3,2,2,2,4,Moderate, regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. strongly has investment accounts in money and capital markets.,2
0,0,0,3,4,4,4,3,3,1,1,1,1,1,1,1,1,3,3,2,2,4,3,3,4,4,5,5,3,4,4,4,3,Agressive,strongly regularly puts money aside for the future. strongly compares prices before making purchases for investment. very strongly considers stock prices before selling. very strongly understands fundamental analysis. neutral about always has money available in case of a failed investment. strongly plans to manage expenses in order to invest. strongly saves money in order to invest. strongly invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,0
0,0,1,2,3,2,2,2,2,3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,Moderate,neutral about regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest.  saves money in order to invest.  invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,2
1,0,0,3,3,4,4,3,5,3,3,4,5,4,3,2,2,3,2,4,5,2,5,1,3,2,2,2,5,3,3,1,4,Moderate,neutral about regularly puts money aside for the future.  compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis. very strongly always has money available in case of a failed investment. neutral about plans to manage expenses in order to invest. neutral about saves money in order to invest. does not invests to achieve certain goals. strongly has investment accounts in money and capital markets.,2
0,0,0,2,2,3,2,3,3,5,5,1,5,5,5,5,5,3,3,4,3,2,4,3,1,1,1,1,1,1,1,1,3,Conservative,does not regularly puts money aside for the future. does not compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment. does not plans to manage expenses in order to invest. does not saves money in order to invest. does not invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
0,0,0,3,3,2,2,2,2,2,5,4,4,4,4,2,2,3,2,3,2,4,4,3,2,1,2,2,4,2,3,3,5,Moderate, regularly puts money aside for the future. does not compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis. strongly always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,2
1,1,0,2,2,2,2,2,2,4,4,5,5,5,4,2,2,2,3,3,3,2,2,2,4,4,2,2,3,2,3,3,5,Moderate,strongly regularly puts money aside for the future. strongly compares prices before making purchases for investment.  considers stock prices before selling.  understands fundamental analysis. neutral about always has money available in case of a failed investment.  plans to manage expenses in order to invest. neutral about saves money in order to invest. neutral about invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,2
0,0,1,2,1,1,1,2,1,5,5,5,3,4,4,3,3,3,1,2,2,2,2,2,1,2,1,2,1,1,1,1,3,Conservative,does not regularly puts money aside for the future.  compares prices before making purchases for investment. does not considers stock prices before selling.  understands fundamental analysis. does not always has money available in case of a failed investment. does not plans to manage expenses in order to invest. does not saves money in order to invest. does not invests to achieve certain goals. neutral about has investment accounts in money and capital markets.,1
1,0,0,5,5,5,3,4,5,5,5,5,5,4,5,5,5,4,3,2,5,1,5,1,4,2,1,1,1,1,1,1,5,Conservative,strongly regularly puts money aside for the future.  compares prices before making purchases for investment. does not considers stock prices before selling. does not understands fundamental analysis. does not always has money available in case of a failed investment. does not plans to manage expenses in order to invest. does not saves money in order to invest. does not invests to achieve certain goals. very strongly has investment accounts in money and capital markets.,1
